,aveFitness,peakFitness,peakParameters,generation
0,0.5086671095501829,0.8923045289987026,"[-0.14593777102053773, -0.37348682304872005, -0.41428574446094757, 0.38218863974544526, 0.09769917932341868, 0.2557084686084732, 0.31298462063495264, -0.11599149864288694]",500
1,0.511849469683561,0.875392925642356,"[-0.38964436983743933, -0.11377229532756938, -0.6264434463104063, 0.037831825568481525, 0.2309069858144247, -0.056478984921503605, 0.42551307870263577, 0.18561099297536698]",500
2,0.5306762570515671,0.8927403103556177,"[-0.044086700864896855, 0.0764879875548935, 0.4745080276237177, -0.15450009414312582, 0.24458981547488656, 0.33904660273542986, 0.2962388625357075, -0.3784594165713727]",500
3,0.6014071731955641,0.8863142995366282,"[-0.25924565583454107, -0.08030133281176965, 0.5378505517218961, 0.16412195195686996, 0.18123854079843071, -0.46307228159024005, 0.036659239192045834, -0.29287312472445537]",500
4,0.5514758911267655,0.8526144650852305,"[-0.6333916855507076, 0.3763390845279584, 0.0539493584156705, -0.4351154408433703, -0.21490575508894197, 0.3887532367964952, -0.24469493051387592, 0.23594655950327226]",500
5,0.5444476048202841,0.8267737898444288,"[0.2023045118345177, -0.3360214440808671, -0.3591821362194162, -0.3512609868402575, 0.40876915837566874, 0.6695446631800244, -0.16991223811798226, 0.5176564867841407]",500
6,0.484313414564088,0.8315222901943156,"[-0.5110862868572356, 0.19320773258564777, -0.35935001937282823, -0.07648843852981269, 0.5176681737551014, -0.31011087633846046, -0.5310624601446652, 0.4255062556630558]",500
7,0.5089202315833122,0.8291369139856887,"[0.5716775644435137, 0.1986458178636752, -0.2727253527654119, -0.2912317031820464, 0.1438337677523257, -0.1046284710190416, 0.8601689464534956, -0.20174900060370587]",500
8,0.6005465173769442,0.9219884562108387,"[0.3447219548957305, -0.2717847785998261, 0.4966592733427284, -0.43143787841857684, 0.08117254192100254, 0.21234682896083626, -0.1936908865257167, -0.3055595507080145]",384
9,0.5373486365826314,0.845861082862028,"[-0.132136386396991, 0.035854667247363525, -0.8495800128323384, -0.6499196728388562, 0.02546416248721276, -0.08104241268449514, 0.05903052107504203, 0.019625203350406184]",500
10,0.5587105355768353,0.8975639241361222,"[-0.07535439520732023, 0.14248071236725485, 0.40650319958064485, 0.19948603214794924, -0.29758145653347523, -0.08769515263147165, 0.49312746980750866, -0.22704434046859578]",500
11,0.5210324145314565,0.8756169708530404,"[-0.0824683831403864, -0.09498716133922869, 0.5305627174513015, -0.13360914105354205, -0.3718449258346498, 0.3780138721044374, -0.29258163383312163, -0.37104356075868183]",500
12,0.5597311515082886,0.8521240665999233,"[-0.32931754780626266, 0.7467597169777654, -0.12374122168533636, 0.24093243334528797, -0.32587233586268877, -0.3217221021943366, -0.3383316685049668, -0.06275619283540546]",500
13,0.5280730952251351,0.8978442197653237,"[0.7679291660076024, -0.06895520041615799, -0.03167936663021753, 0.18505363945693581, -0.1306874094080943, 0.018941894640190693, 0.05122342515235928, 0.03347024164879411]",500
14,0.6262624484559847,0.8871965662413978,"[-0.07910105042929616, -0.21380133655665534, -0.09374035311935885, 0.6158104128747063, -0.1137416842374814, -0.27432821803203566, 0.4266892651644615, -0.10818694578511512]",500
15,0.539904943320842,0.8435472723430678,"[0.21329676215327908, -0.17892671648494163, -0.39197426213332665, -0.5584718461647908, -0.00506752030253077, 0.2014333207396053, 0.402646272894957, 0.6316917113328812]",500
16,0.6030355362598219,0.9024540438447293,"[0.2984764098324627, 0.009284191932750485, 0.009728019207200206, -0.45159682762859743, -0.33188571480138074, -0.3997838239352688, 0.21664345438622576, 0.40405162518802007]",238
17,0.55060114551607,0.872032886472585,"[-0.016024142071989225, -0.4271558246578351, -0.2014190856191314, 0.383778510988632, -0.659770735243361, 0.024082916394193465, -0.17449825656104334, -0.16946320508347013]",500
18,0.6130796928987684,0.9151620055555764,"[-0.4275592075830455, -0.5261185134806314, -0.1682382609579045, -0.3165108464121454, -0.13177167024416606, 0.2691754807187905, -0.23101472917622468, 0.47456040999067706]",234
19,0.4858580467440789,0.8964111335519508,"[0.3271369137600557, -0.25562578915158124, -0.3042014847618656, 0.1522831166649977, -0.13871732376099544, -0.13044963737604276, -0.3400035366991452, -0.43427484826788465]",500
20,0.5199770294353605,0.8211958607214566,"[-0.32154894052807437, -0.16815760390864176, 0.02011019058078556, 0.33895325279638333, -0.4080962549045202, 0.7070954469660264, -0.2624628401659985, 0.641499633014058]",500
21,0.5675384997769772,0.919557371127571,"[-0.29094509077893926, -0.8451429512046901, -0.09211793944105989, -0.06151985817973541, 0.21113299952319645, 0.012216637606450517, -0.24162132450120816, -0.4420521862143961]",331
22,0.575339677260267,0.9034042109606869,"[0.21004431625752495, -0.48965109444280214, -0.7657563587921733, 0.456282817379997, -0.1503447802394185, 0.10559669550657666, 0.835479587993492, -0.2700942300675302]",156
23,0.618933374696342,0.9125997651460338,"[0.4875833023369811, -0.2379624548482484, 0.3735790285198287, -0.03787476552985086, -0.5759389031554287, 0.2194594325089011, -0.483834489285759, 0.07239060016537886]",427
24,0.49012026155098,0.854983718774528,"[0.33767112147279255, -0.22891300975624063, 0.04011229605349165, -0.5590340389585919, 0.14186229970502978, 0.2949457302954526, 0.41492178551976566, -0.511371790058576]",500
25,0.5301467194794833,0.8764252467965633,"[-0.42981037303329384, 0.4306130141288468, 0.27840561494544386, -0.3970151637113965, 0.041036922041483126, -0.17436731107802111, 0.3638854183689008, 0.19765573427437344]",500
26,0.5512382914616986,0.8643202126052423,"[0.010482570230105459, -0.08938657934744765, -0.6890445850665368, -0.3720459295258723, 0.34107197074693296, -0.35529909479249283, 0.018532811510199698, 0.27722651579684865]",500
27,0.49776847444044947,0.8753722391351779,"[-0.4056440393596519, 0.38692843095135354, -0.3165478508336991, 0.06988901700122838, -0.19068017359692968, -0.3363684921803087, -0.02351025739964485, -0.5012745583441526]",500
28,0.5076248996840641,0.8449893893654619,"[0.6044276735591628, -0.2736189378157531, 0.02683249199930015, 0.4101550062455317, -0.06386048097528513, -0.724804434287548, 0.08364386483469921, -0.05436157629032112]",500
29,0.49970275189169355,0.8825590032470487,"[0.1106411726982461, 0.4621773618401619, -0.4717845777206684, -0.00562924739584969, 0.1528042440252022, 0.42217280102168614, 0.06864746842393774, 0.3191923397188227]",500
30,0.6107719267158466,0.883637897907439,"[-0.35212542113962175, 0.6058180534199804, -0.11487759458987343, 0.4239696074360991, -0.0505414986330599, -0.146131845128605, -0.05922339787946507, 0.20439827928134474]",500
31,0.5158597624257695,0.8690380897770641,"[0.2843027236437115, -0.4248535436036976, -0.046817954426340236, -0.18423718549176, -0.17823910637495094, 0.1045530151169225, 0.7236816973786756, -0.19548718647421454]",500
32,0.5647170244642703,0.8539841223791772,"[0.17939680992951684, 0.04260656196309006, 0.5729978927351589, 0.030432777951492573, 0.03206683482467085, 0.07322445250824944, -0.0256878500451706, -0.8446749684712842]",500
33,0.5281243372639359,0.8523781601357726,"[-0.4518400651639899, -0.21666024905336712, 0.008221977381506207, 0.38895945953199174, -0.8120878687054471, 0.08699926806344982, -0.11361842031123315, -0.037168497679300194]",500
34,0.6195889319039972,0.9026773038520567,"[-0.15050012780721478, 0.23306261943548962, 0.2645327219935518, -0.5672467263787045, 0.45679058003708006, -0.022966042159416444, 0.37527002196140113, -0.040845912859524214]",135
35,0.5153886066148043,0.8475836223577907,"[0.5790503228853203, -0.28650567932446297, -0.45289203304742554, 0.31501965495168316, 0.1659662172866732, 0.516622887866219, -0.21739016019131419, -0.18160368334133836]",500
36,0.49129537137415513,0.8415699921842851,"[-0.044863404574976284, 0.10260259369130231, 0.33892263773068665, 0.30373782414957184, -0.10726364152933066, 0.7497819021824563, -0.4758265349247872, -0.3979318566367298]",500
37,0.5086103010442168,0.863402571451853,"[0.10125431321520595, -0.029813664377553284, 0.2356191482684623, -0.6856246049404979, -0.2567070651135858, 0.1645686842269649, -0.5448674660817945, -0.16795715975832712]",500
38,0.4920309999048994,0.8701441957200305,"[-0.1663560443731502, 0.36276112569978247, 0.22361895738157359, -0.6456327686431818, 0.042570436019672364, -0.40749071575259155, 0.03254375317002664, -0.2922528534221506]",500
39,0.6073720977795699,0.843867180572472,"[0.3894643600156771, -0.795230973934995, 0.2138536444696098, 0.17461478586446083, -0.006928813899837405, -0.3580759033442785, 0.3634769147483148, 0.20194360709148435]",500
40,0.500020008555572,0.8559780481470078,"[-0.802455324057231, 0.2805720657886375, 0.3912254616010663, -0.10316035272086481, 0.3657029248264006, -0.07274231932478524, -0.02876798841687933, -0.13297188888217826]",500
41,0.5329248663246435,0.8489550795058974,"[-0.0923417443438744, 0.2705647109486704, -0.18010733401202794, 0.3651388252644486, -0.04610176662158727, -0.4067773943017924, -0.6475006494737466, 0.5049303142075563]",500
42,0.5361640978346283,0.8795404146115999,"[0.28644973575941923, 0.12783502695341242, -0.2769230381736284, -0.011959448984639298, -0.21791124408352958, 0.1481476187519713, -0.45409692011139213, 0.5804747201917974]",500
43,0.543368787389316,0.9145680728693222,"[0.24554567863559124, 0.7310660687916957, 0.129422862043287, 0.027912288488851356, 0.11440575319106776, 0.34695447093481097, -0.3649003916200503, -0.12149182004526679]",494
44,0.5776281153799118,0.856830022061288,"[0.3877863884127856, 0.2536218084077464, 0.07052489835826185, 0.3084318949001832, 0.5253099315078976, 0.5077016475323296, -0.0614712334936536, 0.3858651029029014]",500
45,0.5214089019886902,0.8489431191136255,"[-0.5075394585331516, 0.30792218779488406, -0.24069761961093017, 0.2640310130906084, 0.32139482084198956, 0.17158308138392825, -0.5889471733450893, -0.34823782388849867]",500
46,0.5378125569786609,0.9056100985179256,"[-0.12771128353971203, 0.1898368692772583, 0.5628163091751429, 0.32000055881295136, -0.44550249555806953, 0.3810055708449839, 0.6909922006025782, -0.11650522941272379]",413
47,0.4919789796397261,0.8030059581291461,"[0.9266293798093768, -0.5720505654732109, -0.17659912907001724, -0.07133574318271156, 0.5819605599669371, 0.05646092402823022, -0.20319774392101714, 0.22002731507177165]",500
48,0.5566584743510392,0.9288639906430504,"[0.20502997397669304, 0.433360137677674, 0.42595316530511285, -0.49397265184791517, -0.13079649943921628, 0.40425188409501767, -0.05889492215543536, 0.3864903929688026]",447
49,0.6012779129761394,0.8600707366704669,"[0.15669220496178915, -0.004479927171583076, -0.030683541086171467, 0.6919428143280211, -0.6051410126599902, 0.06582403414898563, -0.309173264709556, 0.15238554453373715]",500
50,0.5307594044206726,0.8643066381877013,"[0.46757824340340637, 0.20075259378908128, -0.029077446831993148, -0.13866760274555479, -0.19966347985210497, -0.09672133070575475, -0.3169121774944789, -0.720623814719736]",500
51,0.5556153693529917,0.9019434068343362,"[0.29479297288784967, 0.3790150779378801, -0.1654189093283024, -0.8484912274026692, 0.5258176714880654, 0.31452326722238044, 0.1935443294045318, 0.5907841352431139]",200
52,0.5575438333330902,0.9265293158554979,"[0.06404535206408374, 0.5698454244642204, 0.3818057708674609, 0.18478623844770536, -0.9656461400974159, 0.6258830822826703, 0.1970672322957842, 0.16535411863395677]",114
53,0.5311584758484023,0.8720087733750411,"[0.2534871591883813, 0.3504286623006741, -0.15634996346381475, -0.6156153144016463, 0.1951186747506808, 0.00020396141804635004, -0.4629737740520885, 0.13464500704469973]",500
54,0.5308204326293089,0.88463380619805,"[0.21334839300726272, 0.09152558776241515, 0.08721408736178149, 0.11945763954387023, -0.4307634128661435, 0.498082916559371, 0.45548677545524846, 0.14820550840972607]",500
55,0.5804663598588974,0.8654316567202084,"[0.11437196522395543, 0.10728100229420251, -0.04526976400855398, 0.21718980592963966, -0.1038370067429275, -0.6255551944962223, -0.39318322391371485, 0.5467399955941277]",500
56,0.5043037627080839,0.8675897828361965,"[-0.49052162779884695, 0.06995929399051137, 0.16314767028346083, 0.005271604887460146, -0.19951900436546563, -0.35143150617581875, 0.6427140916632808, 0.24121281325913824]",500
57,0.6067106123774441,0.8580250858045411,"[0.009922858826190567, -0.08588205740851707, -0.19592119988982437, -0.12179410197831902, 0.8257708910043444, 0.4878455379155976, -0.2283839156516365, -0.0007896202711349387]",500
58,0.5492712896300024,0.8580881766326168,"[-0.11802083737469014, -0.5214649680605408, 0.17393793510862537, -0.2834388746410925, 0.517067752321393, 0.1822992019478516, -0.2565496298570329, -0.4771687889545355]",500
59,0.5744874435657464,0.8925041143226806,"[-0.2186250530832481, -0.07335284155581046, 0.18375027272875732, -0.07553505673290645, -0.14236910636724812, 0.07057125455823715, 0.5141562143204137, -0.5388256895154417]",500
60,0.5825220658865243,0.9372171835937528,"[-0.5880914978806528, -0.42170590328248503, 0.3965365658704066, 0.13107978698600797, 0.5736059606603972, -0.07426286258764181, 0.2778810614783682, -0.06008668098131559]",426
61,0.5292606242611373,0.832860539285241,"[0.19916881834574157, -0.3059718274874302, 0.6134349143795444, 0.6454185643737003, 0.3967060786076152, 0.21062792421983995, -0.20865104425553507, 0.29485480113649637]",500
62,0.5249285200446603,0.8814800044668157,"[0.5216201279308263, -0.34068581532637054, -0.07586524046262574, 0.10873539509525876, 0.021766602660432843, 0.06529657577058723, 0.4295647198015501, -0.4159204543408772]",500
63,0.583085832741644,0.8536059845513719,"[-0.5809333000160037, -0.16562542393242297, -0.11393428464487967, 0.6106605327989655, 0.16179563016727827, 0.36805638447083533, -0.002268634592784674, -0.3628643985641321]",500
64,0.4786267477856718,0.8755016846886114,"[-0.2929908822753107, -0.2547711453614414, 0.62680818828342, -0.14924779844052805, -0.21227462028586042, -0.2258288083574962, -0.09078654292726368, -0.3962078421823656]",500
65,0.5582682958426329,0.8832889480652021,"[0.21553246324633696, -0.17936948174632647, -0.2604456085800465, 0.049749248837624716, 0.14901108003976388, 0.25948150236147255, -0.7151988660040539, 0.1329812539368723]",500
66,0.5252112399837083,0.8065948352505199,"[-0.2598196174738225, -0.26511793197048267, 0.8382142433355937, 0.19816061950159045, 0.7614744585893289, 0.0740332212662565, 0.35824015655198926, 0.08668674017055711]",500
67,0.5518481815255587,0.9267636998093689,"[-0.08062344087977191, -0.9713408988415921, -0.23926287239619057, 0.4132916574098715, -0.27800595734686484, 0.40100298185539085, 0.36944636156157284, -0.17323317928539927]",439
68,0.4678334319927252,0.8194456581588202,"[-0.18669105782403145, 0.27642097324063325, 0.07427104703379409, 0.8343101937854416, -0.280395362327209, 0.6701990303765375, -0.11709286385838696, -0.29858553526748555]",500
69,0.5054217273034697,0.886656721035143,"[-0.4495758845518246, 0.2519506268668547, 0.2643435184339601, 0.14011301157458478, -0.22867255112757934, -0.3167639032161427, -0.2772834765368055, -0.35929392300762675]",500
70,0.53200461094529,0.8612708549639845,"[-0.010854817430456964, -0.05988453552459069, 0.2779560045733706, 0.7103919480621971, 0.0660760168659445, -0.2648525971677168, -0.5323962681270391, 0.18731619097844815]",500
71,0.5600036320491573,0.8804233342663714,"[-0.3979076674903726, -0.22387694171685238, 0.03885756778407069, -0.042226293551602456, -0.4909952393995756, -0.5422579305517318, -0.1243945455284933, 0.13341157941227721]",500
72,0.570414336610431,0.8280961396487794,"[-0.3491779547942212, -0.30381572030156984, -0.2574373838099761, 0.12563620102511575, 1.0234939726716943, -0.025411279396388098, 0.16626852529965563, 0.1877408797769583]",500
73,0.5362648571940143,0.8904313503725024,"[-0.5083780126736042, 0.5531380713617948, 0.0912182104844057, 0.21279566102594677, -0.0016509737850169681, 0.13945016428379253, 0.23040882067945492, 0.029311896530663017]",500
74,0.4876972342217936,0.84851099592975,"[-0.3051103516202869, 0.3202167117039498, -0.5655721280896847, -0.2793107883695659, 0.6575040707816427, -0.22518038395411377, 0.1290280948925634, -0.061501061090946815]",500
75,0.5670791674500797,0.9106719510968372,"[-0.2809987416527156, -0.061032995927509104, 0.27898822710642845, 0.273445947973232, -0.46391798946957774, 0.22926953409482087, -0.6346781441198849, -0.27215641757071896]",345
