,aveFitness,peakFitness,peakParameters,generation
0,0.5247077562337791,0.9012842685362745,"[0.2845585109126066, 0.34855895364083367, 0.2899866345699619, -0.22818878606969933, 0.16745520132287814, 0.10115637271293462, -0.9306498887426321, -0.07122331497931471]",355
1,0.505211431927086,0.8957627420293669,"[0.22359893672192133, -0.25853361738731795, -0.0783933842168764, 0.005287583929716511, 0.10342961320533223, -0.05174798031766564, -0.7141690747472935, 0.10947969829768264]",500
2,0.475672030987206,0.8378922286897914,"[-0.7172930626855447, -0.021207092926158133, -0.3528585275747589, 0.16105392206829675, -0.12046311324469978, 0.6072464958497614, 0.3947103497236669, -0.11917741560914849]",500
3,0.49861933877230913,0.8359274365869407,"[-0.4826739595661927, -0.5546561275920093, -0.5051813164161407, -0.2907592100511668, -0.3417583188405674, 0.400342653266427, -0.22828764534913104, -0.0668814275841341]",500
4,0.5398977781337615,0.8104776311536973,"[-0.20053579874716287, -0.04227252182341698, 0.09331664016502944, 0.10693596170847419, 0.5264269233968781, -0.5741682268866569, -0.9407185591077747, 0.14058883194608138]",500
5,0.5320157375894825,0.8631654911970188,"[-0.10589042664419085, -0.11856426354910124, 0.17127157584090835, 0.46098893198300916, -0.2203281143103346, -0.2712698930224421, 0.6262085153759036, -0.40568901403086555]",500
6,0.5071187527352431,0.8331886631966203,"[-0.2658315011843592, 0.07661143197695719, 0.3729805673553419, 0.4317150221454099, 0.8194187465612607, -0.06350302417154893, -0.20564577261089445, 0.3982345227572336]",500
7,0.5808931975010576,0.9037567499002008,"[-0.3209411808738829, 0.17256498216500016, -0.007640086311257191, -0.056015926725865764, -0.4690859135659731, -0.5525889994178392, -0.763205365763533, 0.23770795832468028]",376
8,0.5303161174623474,0.8897255467065793,"[0.44530489214526103, 0.23750339345300397, 0.09207855900644202, 0.06850196765598059, 0.5718168444728973, 0.13247752248711692, 0.06114652225060867, -0.2830628537950986]",500
9,0.5528965532681338,0.8312307140227407,"[-0.0754932585784025, 0.056000713266289026, -0.16358459546842968, 0.003538682486459166, 0.06793894032179193, -1.0690171885853066, -0.008270271560800069, -0.4710193536660259]",500
