,aveFitness,peakFitness,peakParameters,generation
0,0.5481229745617903,0.8596715156144867,"[0.3764676097700338, -0.0990368848602372, -0.489779218783466, -0.40028192444852306, -0.557166860730724, -0.22192367885702197, -0.20829277962635118, -0.1416189256194778]",500
1,0.5597296882091676,0.851045388122229,"[0.4557586274821313, -0.49762441296047716, -0.3321281317288969, 0.22487679917445108, -0.13843972917185637, 0.21856390481023186, -0.5203872039940601, -0.32148975252998735]",500
2,0.5567842123521817,0.843512003369732,"[0.2614621520007443, -0.2717776943419078, 0.3385772050439385, -0.6186389651038371, 0.3818710628719536, -0.5838178268892544, 0.13564269161232734, 0.0011415971639795464]",500
3,0.5238176806501712,0.8542360313862115,"[0.10430634913736414, -0.6660418945193333, -0.08699057147111083, 0.3919415759741176, 0.16229255030548306, -0.4279514429232527, 0.3701725778258064, -0.27249873824218185]",500
4,0.4940615040486794,0.86388583016188,"[0.1250266475923523, -0.31959726710217695, -0.12827264967164487, -0.09273133908516057, -0.4922633905502771, 0.13153455727559438, 0.5014342312277708, -0.5315228762007762]",500
5,0.5343905900547817,0.8741636403745652,"[0.17015228881115807, 0.4930091130630827, -0.18124510709517538, 0.17037380457334408, 0.35481302380959223, -0.5850499441810535, 0.18107263144741173, 0.06767290355119832]",500
6,0.4855676833282656,0.8642252070957177,"[-0.04250386723953775, -0.4476761303853779, -0.06580133388083498, -0.22746877097302765, -0.33911158175251216, -0.03721387251941277, 0.08083487107729181, -0.7581171756026874]",500
7,0.5416946554377592,0.860479163025363,"[-0.3799788225555502, -0.5391219914474648, -0.3209658328244893, 0.050614033582404905, 0.2567744382328262, -0.34577987123490417, 0.24942450512661946, -0.4171014137225212]",500
8,0.6152337075701507,0.9234035318442544,"[-0.10641082704685445, 0.03868065433896445, 0.019624666649532108, 0.31742807037194043, -0.2659519608688901, -0.35792201771045373, 0.24868130127392607, 0.7242475830895656]",414
9,0.5138817726506543,0.8684635341682359,"[0.1599755653276701, -0.01550029209024828, -0.1567408950327076, 0.4609129808810186, -0.18692902270372092, -0.3185833181172908, -0.6289255244817734, -0.3170038516128877]",500
