,aveFitness,peakFitness,peakParameters,generation
0,0.8474062807457468,0.8831826095616886,"[0.23192908904374526, 0.42320769073885023, 0.48438765775013015, -0.3532730162714688, 0.08080217439369708, 0.13813340149539016, -0.34965994321769933, -0.09312256164919103]",500
1,0.8617605936494448,0.8946758038452849,"[-0.08705033155291625, 0.3817322634508913, 0.20383245266955635, 0.5458141574567634, -0.1498161971680726, -0.019493738995873755, -0.3374193806808123, 0.1428384567938733]",500
2,0.861734910851071,0.8959318482522634,"[-0.14087162554578891, -0.351858934467627, 0.35567866912576035, 0.3537786650810624, -0.2521192054746182, 0.08302514665964135, 0.21909413177401052, 0.34345491641843634]",500
3,0.8436205856901214,0.9064186576254525,"[-0.3913963400076539, -0.3921386825884424, -0.1521373009832021, -0.19170197468165612, -0.04212589933356148, 0.15907245538107873, -0.19951939243865413, -0.3321876267510532]",306
4,0.8787740522572853,0.9229609802991494,"[-0.017149060496629676, -0.014245145045488683, 0.17423908997690235, -0.4755891510742699, 0.05615260167820037, 0.08781287572052685, -0.30264907950394127, 0.23259438114120304]",442
5,0.816480261068848,0.9082312439399715,"[0.06305218098567028, 0.37094563627791977, 0.19918799522582092, 0.4167944107154663, -0.3086257586094732, -0.26748727854829263, 0.08828741706500293, 0.0028562855431653045]",162
6,0.8631651645594947,0.9176564160292084,"[-0.1608697155969906, -0.1397642253982027, 0.2559933957220758, -0.12541796380490136, -0.3107624525055954, -0.47679797489460296, 0.05354613339616798, 0.037499113520317415]",306
7,0.8489795762400515,0.8767119618679324,"[0.04627583070854499, 0.12045751569489899, 0.030258576921781938, 0.379563186848175, 0.05958694687116278, -0.34961486421903976, 0.6937210063805419, 0.23957985432938764]",500
8,0.8538928558299069,0.9049605019254521,"[0.3576108744985312, -0.15734140990137246, -0.2955317766722841, 0.09232342336378396, 0.03142948246809424, -0.42673144479471903, 0.07295376654075497, 0.34674194605190756]",474
9,0.8405005083535988,0.8720480412110423,"[0.17379002273029442, 0.6135954609833701, 0.05867227405475062, -0.17541315857765163, 0.08444239880510701, -0.3192922330410628, 0.3596103031427234, 0.42463418237897693]",500
