,aveFitness,peakFitness,peakParameters,generation
0,0.5277054116725635,0.5890252216641666,"[-0.7730324941026439, 0.45017330717737813, 0.5262023727043044, -0.0229632521150247, 0.299049495732282, -0.011017793853309144, -3.6055667151565873, 3.784304722505725]",500
1,0.5078902423415085,0.5394581732504649,"[-1.0100444837672704, 0.6998288862841893, -0.7724654751680173, -1.1341117122599176, 0.09453107513701475, -2.111668973888572, -0.46547835396604853, -0.2160440504679766]",500
2,0.5585194319169242,0.6098168844359656,"[0.006805593998423731, -0.16794959339306548, 0.6531992950862957, 2.3326097513598842, -0.15770576450595364, -0.03589818412453294, 1.0033632969016288, -0.7334486940199856]",500
3,0.5289170787904858,0.6105581767640852,"[0.10901333496530885, -0.7760402730043117, 1.860374135769093, 0.3790911432514834, 0.22922047537323387, 0.6408435301867756, -0.4003093452530484, -0.9640480878353834]",500
4,0.5345502452071942,0.6389381427691823,"[0.8446696145007468, -0.2113616237581839, 0.2713311162490415, -0.5504076921482737, 3.8439745100900087, 0.15136240504545562, 0.5668155944042832, -0.37097932454043026]",500
5,0.5189195433525248,0.6726527431308702,"[-0.32061811481931546, -0.2822945068564522, 0.006448804417978238, 1.0291530658833192, -1.5405464423896733, 0.3278482538858407, 0.2123971718072939, -0.5419233486634267]",500
6,0.5164757351469023,0.5429788224252226,"[-0.088199855080485, 0.8038561868054392, 0.7745116424794336, 1.2840416442983873, -0.5838609916276258, 0.18955507950561845, 1.9015646152111598, 0.7500946620902482]",500
7,0.49816771660978054,0.5475497992477828,"[-1.2021035462261445, -1.457220719749306, 0.29135157908038334, -0.3134143359094068, -1.6236747550706623, -0.6800602265901032, 0.4701610020869271, -0.11244993866805686]",500
8,0.5338377518813542,0.5861094331233205,"[0.15906244693743243, 0.4965077321618825, -2.8552238754731785, 0.5199270740143493, -0.07526686817801309, -0.015458495971021335, 0.18640222482137503, -3.26267490238201]",500
9,0.5306506681205552,0.613766052263278,"[0.5805453018774243, 0.21363863702439367, -0.040266188766957534, -3.6071254123090988, -0.5232551732758148, 0.028187121063284692, 0.12794879650581947, -3.376973008836528]",500
10,0.5318194047867213,0.5771533194668655,"[0.13888587320515633, 0.12458196142798883, -0.24589403055737513, 0.40339796112737325, 3.3599547238565552, 0.5448358150344408, 0.7886096624688115, -3.4356522857698977]",500
11,0.5072905367356799,0.5847841769551851,"[0.6618761513752691, 4.072458005865117, 0.2908383589514507, 0.2907348443133797, 0.17093234518820744, -0.2242778834148158, 1.5054892833134588, 0.04162759127247995]",500
12,0.5190937609029744,0.5946186899253377,"[1.6313794427977681, -1.3190338298544377, -0.14533715555678484, -0.7737071057688745, 0.4608923200212631, -0.43837498512622997, 0.4102390575816468, -0.43593203719970575]",500
13,0.5080409505914604,0.5493349670838084,"[-0.28738100617432405, 0.38323251062990504, 1.3965339291091183, -1.1490582554273212, -1.5319000804733318, 0.47318306641259156, -0.8428233684140727, -0.09056277078062447]",500
14,0.5243186989204409,0.6138889335783928,"[0.5786770864524922, -0.2786191487415568, 1.030592524727762, -0.547008808162321, 3.042731780157103, -0.03161364538279532, 0.4331708844265547, 0.2400210314616258]",500
15,0.5015108148599274,0.5344703389601348,"[3.121935062403649, 0.42237941762663667, 0.015448064796510508, -1.2525429861048307, -3.8153816259300544, -0.29195139861136177, 0.4000512050542193, 0.23528204066700997]",500
16,0.5034996285834913,0.5535767982043999,"[-3.689943380060691, 1.174435988922152, -0.9222759365263347, 0.0339047657036593, -0.20208010650691932, 0.38017129825479756, 0.9924372769196976, 0.17080898884466045]",500
17,0.5159039124819241,0.5896911073454955,"[-0.1537694471333122, 0.17844759790445774, 1.039637325842934, -0.17923654443941572, -0.10464592680952833, -2.3535526780232017, 0.4017653774859724, 1.0860677790342361]",500
18,0.5362411365678362,0.5922909158026936,"[-0.6396448966874893, -0.28845408691884433, -0.4490926081745128, 3.9801514459473673, -0.0648417730448303, -0.43875596898125924, 0.598604312437022, -1.0514910096333119]",500
19,0.5231321476910915,0.5460213386473074,"[-0.045881643871825695, 1.3969149398282585, -0.9939899168582835, 1.1417784292415547, 1.7275502885866167, 0.23395955492633824, 0.02401242825242811, 0.11683704468719291]",500
